gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5167739620	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/511504393/original.jpg	https://www.inaturalist.org/photos/511504393					2025-05-27T14:53:26Z	Kim DuPree		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kim DuPree
5167678982	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/511632624/original.jpg	https://www.inaturalist.org/photos/511632624					2025-05-24T00:00:06Z	krisc14		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	krisc14
5167663523	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/490353468/original.jpg	https://www.inaturalist.org/photos/490353468					2024-11-20T17:02:50Z	elifrei		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	elifrei
5167336404	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/503889455/original.jpeg	https://www.inaturalist.org/photos/503889455					2025-05-12T15:50:36Z	C A Rytting		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C A Rytting
5167336404	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/503889506/original.jpeg	https://www.inaturalist.org/photos/503889506					2025-05-12T15:50:36Z	C A Rytting		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C A Rytting
5167336404	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/503889545/original.jpeg	https://www.inaturalist.org/photos/503889545					2025-05-12T15:50:36Z	C A Rytting		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C A Rytting
5167300672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/509672097/original.jpg	https://www.inaturalist.org/photos/509672097					2025-05-24T17:34:32Z	Lizzie Nature Lover		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lizzie Nature Lover
5167157435	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/508078868/original.jpg	https://www.inaturalist.org/photos/508078868					2025-05-20T14:14:43Z	Peter M Martin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Peter M Martin
5167148373	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/507625668/original.jpg	https://www.inaturalist.org/photos/507625668					2025-05-19T15:51:20Z	Wayne Longbottom		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wayne Longbottom
5167137565	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/486752939/original.jpeg	https://www.inaturalist.org/photos/486752939					2025-04-15T16:58:23Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
5167079920	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/509874177/original.jpg	https://www.inaturalist.org/photos/509874177					2025-05-24T19:54:30Z	privacyadvocateforwomenssafety		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	privacyadvocateforwomenssafety
5166986487	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/509149522/original.jpg	https://www.inaturalist.org/photos/509149522					2025-05-17T21:19:06Z	plantoks		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	plantoks
5166970806	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/486519881/original.jpeg	https://www.inaturalist.org/photos/486519881					2025-04-14T13:10:51Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
5166835746	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/486556052/original.jpeg	https://www.inaturalist.org/photos/486556052					2025-04-13T15:37:04Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
5154941746	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/506136528/original.jpg	https://www.inaturalist.org/photos/506136528					2025-05-11T02:19:10Z	jyothise		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jyothise
5154936559	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/502835973/original.jpeg	https://www.inaturalist.org/photos/502835973					2025-05-10T16:12:23Z	Tom Moore		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tom Moore
5154926571	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/504476411/original.jpeg	https://www.inaturalist.org/photos/504476411					2025-05-10T17:58:53Z	jtylerbell		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jtylerbell
5154898749	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/499406352/original.jpg	https://www.inaturalist.org/photos/499406352					2025-05-03T12:20:52Z	Janet Gingold		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Janet Gingold
5154811783	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/497362247/original.jpg	https://www.inaturalist.org/photos/497362247					2025-04-26T14:59:23Z	rangerwilder		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rangerwilder
5154791128	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/499975457/original.jpg	https://www.inaturalist.org/photos/499975457					2025-05-04T16:39:14Z	Julie Bittinger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Julie Bittinger
5154743127	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/502375169/original.jpeg	https://www.inaturalist.org/photos/502375169					2025-05-09T20:37:28Z	Carter Barrett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carter Barrett
