gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3985621568	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/205279115/original.jpeg	https://www.inaturalist.org/photos/205279115					2022-06-03T12:12:17Z	jimcarlile		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jimcarlile
3985616629	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/207059067/original.jpg	https://www.inaturalist.org/photos/207059067					2022-06-18T12:05:23Z	laurabankey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laurabankey
3985616629	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/207059115/original.jpg	https://www.inaturalist.org/photos/207059115					2022-06-18T12:05:23Z	laurabankey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laurabankey
3985616629	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/207059033/original.jpg	https://www.inaturalist.org/photos/207059033					2022-06-18T12:05:23Z	laurabankey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laurabankey
3985613537	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/173417603/original.jpeg	https://www.inaturalist.org/photos/173417603					2021-12-24T20:12:21Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3985612650	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/210198522/original.jpeg	https://www.inaturalist.org/photos/210198522					2022-06-29T01:26:32Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3966731594	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239220097/original.jpeg	https://www.inaturalist.org/photos/239220097					2022-10-23T16:25:37Z	Jenny Glenn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jenny Glenn
3966731594	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/239220325/original.jpeg	https://www.inaturalist.org/photos/239220325					2022-10-23T16:25:45Z	Jenny Glenn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jenny Glenn
3966500952	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/242795501/original.jpg	https://www.inaturalist.org/photos/242795501					2022-11-10T17:41:55Z	woodlawn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	woodlawn
3966440152	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/243218817/original.jpg	https://www.inaturalist.org/photos/243218817					2022-11-12T18:17:57Z	quintoreal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quintoreal
3966440152	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/243218795/original.jpg	https://www.inaturalist.org/photos/243218795					2022-11-12T18:17:57Z	quintoreal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quintoreal
3966393580	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238609691/original.jpeg	https://www.inaturalist.org/photos/238609691					2022-10-16T22:13:13Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3966393580	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/238609681/original.jpeg	https://www.inaturalist.org/photos/238609681					2022-10-16T22:13:16Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3966381482	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/217395600/original.jpg	https://www.inaturalist.org/photos/217395600					2022-07-26T16:23:50Z	darringj11		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	darringj11
3966350854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/242657345/original.jpg	https://www.inaturalist.org/photos/242657345					2022-11-10T16:08:00Z	quintoreal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quintoreal
3966350854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/242657333/original.jpg	https://www.inaturalist.org/photos/242657333					2022-11-10T16:08:00Z	quintoreal		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quintoreal
3963666454	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/198503916/original.jpg	https://www.inaturalist.org/photos/198503916					2022-05-17T21:55:23Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3963639404	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/175591460/original.jpeg	https://www.inaturalist.org/photos/175591460					2021-06-17T00:13:55Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3963639404	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/175591469/original.jpeg	https://www.inaturalist.org/photos/175591469					2021-06-17T00:13:58Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3963536415	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/177520422/original.jpeg	https://www.inaturalist.org/photos/177520422					2021-06-17T00:13:55Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3963234509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/218392579/original.jpeg	https://www.inaturalist.org/photos/218392579					2022-07-24T19:51:04Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3963234509	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/218392568/original.jpeg	https://www.inaturalist.org/photos/218392568					2022-07-24T19:51:12Z	Alina Martin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alina Martin
3947546688	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/219549250/original.jpeg	https://www.inaturalist.org/photos/219549250					2022-08-03T02:28:50Z	kathelizhill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kathelizhill
3947462051	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236668926/original.jpeg	https://www.inaturalist.org/photos/236668926					2022-10-11T23:07:18Z	forestseasons		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	forestseasons
3947158755	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/225486150/original.jpg	https://www.inaturalist.org/photos/225486150					2022-08-26T14:46:21Z	deleon14		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	deleon14
3947135664	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237621114/original.jpeg	https://www.inaturalist.org/photos/237621114					2022-06-20T22:19:48Z	Sarab Seth		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarab Seth
